Comparable Company,EV/Revenue Multiple,Implied EV (USD M),Implied EV (NGN B),Source Notes
MTN MoMo (listed),5.0x,$91.3M,₦136.9B,MTN Group Annual Report 2023 — mobile money segment
Interswitch (pre-IPO est.),6.0x,$109.5M,₦164.3B,Analyst estimates from financial press — APPROXIMATION
Flutterwave (last round),8.0x,$146.0M,₦219.0B,Last disclosed funding round vs estimated ARR — APPROXIMATION
PalmPay (conservative),4.0x,$73.0M,₦109.5B,Funding round valuation vs estimated GMV — APPROXIMATION
Sector median,5.5x,$100.4M,₦150.6B,Median of above comparables
