model,roc_auc,pr_auc,brier_score,log_loss,f1,precision,recall,balanced_accuracy,threshold
xgboost,0.7815390276937646,0.5636671209476233,0.17936186536704754,0.5424079148876774,0.5354777672658467,0.460412147505423,0.6397889977392615,0.7134318410481029,0.5
random_forest,0.78098299471172,0.5591210801795014,0.1701799995381331,0.520879000702168,0.5465711361310133,0.4993765586034913,0.6036171816126601,0.7158894810267452,0.5
mlp,0.7776459905071237,0.5577893571035288,0.185635821820107,0.5572599213077941,0.5295391277451283,0.4491080797481637,0.6450640542577242,0.7101844987744859,0.5
logistic_regression,0.760393970654424,0.5224317106315938,0.1888377437974385,0.5702139577893306,0.5101137800252844,0.43930321175830156,0.6081386586284853,0.6938617538809022,0.5
