model,roc_auc,pr_auc,brier_score,log_loss,f1,precision,recall,balanced_accuracy,threshold
xgboost,0.7815390276937646,0.5636671209476233,0.1793618653706953,0.5424079149916077,0.5354777672658467,0.460412147505423,0.6397889977392615,0.7134318410481029,0.5
random_forest,0.78098299471172,0.5591210801795014,0.17017999953813312,0.5208790007021681,0.5465711361310133,0.4993765586034913,0.6036171816126601,0.7158894810267452,0.5
logistic_regression,0.760393970654424,0.5224317106315938,0.18883774379743856,0.5702139577893307,0.5101137800252844,0.43930321175830156,0.6081386586284853,0.6938617538809022,0.5
